,MG1655_lacZ,005,021,029,036,062,063,065,074,099,107,116,122,127,131,133,143,146,149,150,154,171,066,090,100,104,174,177,048,136,038,044,070
MG1655_lacZ,,1,1,1,3,2,1,1,1,0,1,1,1,1,2,1,1,3,2,0,1,1,0,4,1,1,2,2,2,2,3,2,2
005,1,,2,2,4,3,2,2,2,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
021,1,2,,2,4,3,2,2,2,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
029,1,2,2,,4,3,2,2,2,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
036,3,4,4,4,,5,4,4,4,3,4,4,4,4,5,4,4,6,5,3,4,4,3,7,4,4,5,5,5,5,6,5,5
062,2,3,3,3,5,,3,3,3,2,3,3,3,3,4,3,3,5,4,2,2,3,2,6,3,3,4,4,4,4,5,4,4
063,1,2,2,2,4,3,,2,2,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
065,1,2,2,2,4,3,2,,2,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
074,1,2,2,2,4,3,2,2,,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,2,3,3
099,0,1,1,1,3,2,1,1,1,,1,1,1,1,2,1,1,3,2,0,1,1,0,4,1,1,2,2,2,2,3,2,2
107,1,2,2,2,4,3,2,2,2,1,,2,2,2,3,2,2,4,3,1,2,2,1,5,1,2,3,3,3,3,4,3,3
116,1,2,2,2,4,3,2,2,2,1,2,,2,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
122,1,2,2,2,4,3,2,2,2,1,2,2,,2,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,2,3,3
127,1,2,2,2,4,3,2,2,2,1,2,2,2,,3,2,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
131,2,3,3,3,5,4,3,3,3,2,3,3,3,3,,3,3,5,4,2,3,3,2,6,3,3,4,4,4,4,5,4,4
133,1,2,2,2,4,3,2,2,2,1,2,2,2,2,3,,2,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
143,1,2,2,2,4,3,2,2,2,1,2,2,2,2,3,2,,4,3,1,2,2,1,5,2,2,3,3,3,3,4,3,3
146,3,4,4,4,6,5,4,4,4,3,4,4,4,4,5,4,4,,5,3,4,4,3,7,4,4,5,5,5,5,6,5,5
149,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,,2,3,3,2,6,3,3,4,4,4,4,4,4,4
150,0,1,1,1,3,2,1,1,1,0,1,1,1,1,2,1,1,3,2,,1,1,0,4,1,1,2,2,2,2,3,2,2
154,1,2,2,2,4,2,2,2,2,1,2,2,2,2,3,2,2,4,3,1,,2,1,5,2,2,3,3,3,3,4,3,3
171,1,2,2,2,4,3,2,2,2,1,2,2,2,2,3,2,2,4,3,1,2,,1,5,2,2,3,3,3,3,4,3,3
066,0,1,1,1,3,2,1,1,1,0,1,1,1,1,2,1,1,3,2,0,1,1,,4,1,1,2,2,2,2,3,2,2
090,4,5,5,5,7,6,5,5,5,4,5,5,5,5,6,5,5,7,6,4,5,5,4,,5,5,6,6,6,6,7,6,6
100,1,2,2,2,4,3,2,2,2,1,1,2,2,2,3,2,2,4,3,1,2,2,1,5,,2,3,3,3,3,4,3,3
104,1,2,2,2,4,3,2,2,2,1,2,2,2,2,3,2,2,4,3,1,2,2,1,5,2,,3,3,3,3,4,3,3
174,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,2,6,3,3,,4,4,4,5,4,4
177,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,2,6,3,3,4,,4,4,5,4,4
048,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,2,6,3,3,4,4,,4,5,4,4
136,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,2,6,3,3,4,4,4,,5,4,4
038,3,4,4,4,6,5,4,4,2,3,4,4,2,4,5,4,4,6,4,3,4,4,3,7,4,4,5,5,5,5,,5,5
044,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,2,6,3,3,4,4,4,4,5,,4
070,2,3,3,3,5,4,3,3,3,2,3,3,3,3,4,3,3,5,4,2,3,3,2,6,3,3,4,4,4,4,5,4,
